# seed library for xarm7 (Halton joints + FK forward + voxel dedup)
# version: v1.1  base_version: v1 (entries=8000)
# increment: 姿态感知覆盖驱动拒绝采样 +4000 (组合度量 gap>0.05), 2026-09-17 14:01
# generated: 2026-09-17 14:01  urdf=/tmp/verify_xarm7.urdf (verify_robot.sh 产物)
# entries=12000 voxel=0.03m orient_bucket=0.5
# 查询端参数 (dls_ik): 组合度量 dp + 0.35*(1-|q·q'|), 分支封顶<=2, top-6
# format: qw qx qy qz x y z | j1 .. j7 br   (br = L1 最近分支 0-3, 查询端封顶选种用)
0.140750 -0.086836 -0.906620 -0.388187 -0.594127 0.207229 0.181875 | 2.025418 1.303700 -4.975562 1.543264 4.142784 1.515521 0.742982 0
0.158528 0.793487 0.496975 0.313469 -0.412231 0.486135 0.246367 | -1.116175 -1.003745 -2.462288 2.131689 5.285181 1.887410 1.482180 3
0.107502 -0.008299 0.993942 0.021286 0.226122 -0.367143 0.726097 | 5.167011 0.380722 0.050986 2.720115 -6.034938 2.259300 2.221378 0
0.181203 0.077804 0.434132 -0.879000 0.300022 0.496279 0.172494 | -5.043166 1.765189 2.564260 3.308541 -4.892541 2.631189 2.960577 0
0.848841 -0.297929 0.436605 0.009161 -0.340599 -0.265968 0.156186 | 1.240020 -1.772893 5.077534 3.896966 -3.750143 3.003078 3.699775 2
0.356991 0.299568 -0.691813 -0.551554 0.008685 0.055823 0.261811 | -1.901573 -0.388426 -4.472907 -0.125944 -2.607746 -1.430988 4.438973 3
0.019072 0.898032 -0.300683 -0.320568 -0.299599 0.060321 0.285010 | 4.381612 0.996040 -1.959633 0.462482 -1.465349 -1.059098 5.178171 0
0.852894 0.367161 0.001839 -0.371164 0.069909 -0.318595 0.703233 | -3.472369 -1.311404 0.553641 1.050907 -0.322951 -0.687209 5.917370 2
0.261983 -0.321131 0.475094 -0.776225 0.352953 -0.235754 0.766457 | 2.810816 0.073063 3.066915 1.639333 0.819446 -0.315320 -5.866320 2
0.299622 0.029796 0.880414 -0.366346 0.499148 -0.478771 0.094450 | -0.330777 1.457529 5.580189 2.227759 1.961843 0.056570 -5.127122 1
